title,allpoints_number,price,description,specifications,oem_names_numbers
"32-1003 - METAL GASKET SET 22.5"" EACH PIECE",32-1003,71.00,"
SS DOOR GASKET, 2 PIECES BOTH 22 5/8"""" LONG"" ""NARROW PIECE
W/ (4) 3/16"" HOLES
BLODGETT EF/EZE, AFTER 6/76, FA/GZL
","


Ship Weight : 0.6 lbs.

","{'Blodgett': ['10471', 'BL10471']}"
"32-1024 - BURNER GASKET 2-11/16"" X 1-1/2""",32-1024,2.99,"
BURNER GASKET, [ 2-11/16"" X 1-1/2"" ] [FIBRE ] [ TYPE C]
[ GREEN ]  2"" CTRS MOUNT HOLES, .9"" CENTER HOLE.
CONNERTON
GARLAND
IMPERIAL
RANKIN-DELUX
US RANGE
SOLID STATE POCKET GAS DETECTOR # 85-1101
TEFLON THREAD SEALING TAPE, # 85-1109 (1/2"" X 520"")
TEFLON SEALING ""PINK"" H/D TAPE # 85-1130 (1/2"" X 260"")
""GRIPP"" HEAVT DUTY THREAD SEALER 1/2 PINT , # 85-1101
PTFE HEAVY DUTY THREAD SEALER 1/4 PINT # 85-1136
","


Ship Weight : 0.1 lbs.

","{'Garland': ['224005', '4521321', 'GL4521321'], 'Imperial': ['1006'], 'Randell': ['RDHP-09', 'RDHP-9', 'SUHP-03', 'SUHP-212-03'], 'Rankin Delux': ['RANRDHP-09', 'RANRDHP09', 'RDHP-09', 'RDHP-9', 'RDHP09', 'SUHP-03', 'SUHP-212-03'], 'Star Mfg': ['2I-Z0752']}"
32-1022 - DOOR SEAL,32-1022,56.00,"
DOOR SEAL(PRESSURE LOCK) ATTACHES TO FRONT OF DOOR
BLODGETT MODEL DFG, 100, 200, 300, MARK V
","


Ship Weight : 0.8 lbs.

","{'Blodgett': ['16448', 'BL16448']}"
"DORMONT - 1675BP48 - DORMONT GAS HOSE ONLY 3/4"" MPT X 48""",32-1014,319.43,"
DORMONT BLUE PLASTIC COATED GAS HOSE W/MALE SWIVEL ENDS.
POLYTEC COATED STAINLESS STEEL BRAIDED HOSES,
3/4"" MPT X 48"" LENGTH
most common qd 261263
1/2"" SAFETY & SHUT-OFF, QUICK DISCONNECT # 52-1109
3/4"" SAFETY & SHUT-OFF, QUICK DISCONNECT # 52-1110
1"" SAFETY & SHUTOF-F, QUICK DISCONNECT # 52-1111
1/2"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE, # 26-2526
3/4"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE, # 26-2527
1"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE, # 26-2528
1-1/4"" SUPER-SWIVEL 360 DEGREE MULTI-PLANE, # 26-2529
1/2"" 90 DEGREE STREET ELBOW MALE/FEMALE # 26-2502
3/4"" 90 DEGREE STREET ELBOW MALE/FEMALE # 26-2503
1"" 90 DEGREE STREET ELBOW MALE/FEMALE # 26-2518
1-1/4"" 90 DEGREE STREET ELBOW MALE/FEMALE # 26-2519
1/2"" TEFLON TAPE 260"" LONG # 85-1090
1/2"" TEFLON TAPE 520"" LONG # 85-1109
","


Ship Weight : 3. lbs.

","{'Dormont': ['1675BP-48', '1675BP48', '1675BP48BX']}"
32-1025 - DOOR GASKET SET,32-1025,543.00,"
SS PERIMETER GASKET SET, 4 PC
BLODGETT
OVEN	SERIES: DFG 100, 200 & 300 BEFORE
7/84~
EF/EZE~
FA/GZL AFTER 1967.
","


Ship Weight : 1.4 lbs.

","{'Blodgett': ['11489', '90010', '9749', 'BL11489', 'BL90010', 'BL9749']}"
"32-1027 - PERIMETER DOOR GASKET 30-3/8""",32-1027,234.00,"
PERIMETER SS GASKET SET, 4 PC
BLODGETT DFG, ZEPHAIRE
","


Ship Weight : 1. lbs.

","{'Blodgett': ['17519', 'BL17519']}"
32-1040 - CENTER GASKET KIT,32-1040,129.00,"
SS CENTER DOOR GASKET SET
2EA 22-3/8"" X 1-3/16"" V SHAPE & 1EA 22-3/8"" L SHAPE PIECE
BLODGETT ZEPHAIRE G
","


Ship Weight : 0.6 lbs.

",{'Blodgett': ['23120']}
BLODGETT - 4598 - SEAL ASSY,32-1041,330.00,"
SEAL ASSEMBLY, 31-5/8"" LONG, 3-1/4"" HIGH,
1-1/4"" WIDE, 3PCS WELDED TOGETHER
ALSO CALLED A CRUMB CATCHER
BLODGETT 999, 1000
","


Ship Weight : 2. lbs.

","{'Blodgett': ['04598', '4598', 'BL4598']}"
"BLODGETT - 17862 - PERIMETER DOOR GASKET 21-7/8""",32-1043,209.00,"
There's no product description on-file for this part.
","


Ship Weight : 0.98 lbs.

","{'Blodgett': ['17862', 'BL17862']}"
32-1054 - HAND HOLE GASKET,32-1054,15.52,"
HAND HOLE GASKET
[ 9-7/8"" X 9-1/8"", 29.83"" CIRCUMFRENCE ] [RUBBER ]
[ TYPE C]  [ ] BLACK  ]  [ EXTERIOR  MOUNT]CIRCULAR,
FLEXIBLE,
APPROX. 3/8"" THICK
CLEVELAND
BOILER	BOILER HH.
STEAMER	42CKEM24/36/48, 24/36CEM24/36/48,
24/36CGM200/250/300, 24/36CDM/CSM.
KETTLE	42CKGM200/250/300, 42CKDM, 42CKSM.
","


Ship Weight : 0.2 lbs.

",{'Cleveland': ['07116']}
